"well","plate","strain","plasmid","row","column","stress","temperature","doxycycline","well_id","v_max","auc","final_abs"
"A9",3,"▲erg3","pRS315","A",9,"0.005% SDS",30,"None","A9_3",0.001,5.17475,0.141
"A10",3,"▲erg6","pRS315","A",10,"0.005% SDS",30,"None","A10_3",0.001,5.03725,0.143
"A11",3,"▲erg6","pRS315","A",11,"0.005% SDS",30,"None","A11_3",0.002,6.074875,0.216
"A12",3,"▲erg6","pRS315","A",12,"0.005% SDS",30,"None","A12_3",0.003,5.431375,0.199
"B1",3,"Tet-O7-ERG3","pRS315-ScerERG3","B",1,"0.005% SDS",30,"10 µg/mL","B1_3",0.022,28.05525,1.097
"B2",3,"Tet-O7-ERG3","pRS315-ScerERG3","B",2,"0.005% SDS",30,"10 µg/mL","B2_3",0.025,33.35425,1.195
"B3",3,"Tet-O7-ERG3","pRS315-ScerERG3","B",3,"0.005% SDS",30,"10 µg/mL","B3_3",0.028,36.9685,1.328
"B4",3,"Tet-O7-ERG6","pRS315-ScerERG6","B",4,"0.005% SDS",30,"10 µg/mL","B4_3",0.025,33.97075,1.241
"B5",3,"Tet-O7-ERG6","pRS315-ScerERG6","B",5,"0.005% SDS",30,"10 µg/mL","B5_3",0.024,33.998125,1.211
"B6",3,"Tet-O7-ERG6","pRS315-ScerERG6","B",6,"0.005% SDS",30,"10 µg/mL","B6_3",0.026,36.11325,1.278
"B7",3,"▲erg3","pRS315-ScerERG3","B",7,"0.005% SDS",30,"None","B7_3",0.025,37.012875,1.341
"B8",3,"▲erg3","pRS315-ScerERG3","B",8,"0.005% SDS",30,"None","B8_3",0.0249999999999999,33.646375,1.325
"B9",3,"▲erg3","pRS315-ScerERG3","B",9,"0.005% SDS",30,"None","B9_3",0.023,28.839875,1.228
"B10",3,"▲erg6","pRS315-ScerERG6","B",10,"0.005% SDS",30,"None","B10_3",0.0259999999999999,31.0425,1.278
"B11",3,"▲erg6","pRS315-ScerERG6","B",11,"0.005% SDS",30,"None","B11_3",0.025,35.117625,1.278
"B12",3,"▲erg6","pRS315-ScerERG6","B",12,"0.005% SDS",30,"None","B12_3",0.022,35.320375,1.197
"C1",3,"Tet-O7-ERG3","pRS315-CalbERG3","C",1,"0.005% SDS",30,"10 µg/mL","C1_3",0.021,28.483125,1.094
"C2",3,"Tet-O7-ERG3","pRS315-CalbERG3","C",2,"0.005% SDS",30,"10 µg/mL","C2_3",0.024,31.897625,1.144
"C3",3,"Tet-O7-ERG3","pRS315-CalbERG3","C",3,"0.005% SDS",30,"10 µg/mL","C3_3",0.025,32.528125,1.185
"C4",3,"Tet-O7-ERG6","pRS315-CalbERG6","C",4,"0.005% SDS",30,"10 µg/mL","C4_3",0.024,32.594,1.168
"C5",3,"Tet-O7-ERG6","pRS315-CalbERG6","C",5,"0.005% SDS",30,"10 µg/mL","C5_3",0.025,32.833875,1.195
"C6",3,"Tet-O7-ERG6","pRS315-CalbERG6","C",6,"0.005% SDS",30,"10 µg/mL","C6_3",0.0259999999999999,35.42625,1.258
"C7",3,"▲erg3","pRS315-CalbERG3","C",7,"0.005% SDS",30,"None","C7_3",0.025,33.235875,1.305
"C8",3,"▲erg3","pRS315-CalbERG3","C",8,"0.005% SDS",30,"None","C8_3",0.022,29.438125,1.188
"C9",3,"▲erg3","pRS315-CalbERG3","C",9,"0.005% SDS",30,"None","C9_3",0.024,29.364375,1.248
"C10",3,"▲erg6","pRS315-CalbERG6","C",10,"0.005% SDS",30,"None","C10_3",0.023,29.559125,1.232
"C11",3,"▲erg6","pRS315-CalbERG6","C",11,"0.005% SDS",30,"None","C11_3",0.023,31.987625,1.223
"C12",3,"▲erg6","pRS315-CalbERG6","C",12,"0.005% SDS",30,"None","C12_3",0.0219999999999999,31.851375,1.185
"D1",3,"Tet-O7-ERG3","pRS315-CaurERG3","D",1,"0.005% SDS",30,"10 µg/mL","D1_3",0.019,27.625875,1.01
"D2",3,"Tet-O7-ERG3","pRS315-CaurERG3","D",2,"0.005% SDS",30,"10 µg/mL","D2_3",0.024,32.786125,1.147
"D3",3,"Tet-O7-ERG3","pRS315-CaurERG3","D",3,"0.005% SDS",30,"10 µg/mL","D3_3",0.0239999999999999,31.223875,1.15
"D4",3,"Tet-O7-ERG6","pRS315-CaurERG6","D",4,"0.005% SDS",30,"10 µg/mL","D4_3",0.024,32.356125,1.207
"D5",3,"Tet-O7-ERG6","pRS315-CaurERG6","D",5,"0.005% SDS",30,"10 µg/mL","D5_3",0.024,32.562625,1.204
"D6",3,"Tet-O7-ERG6","pRS315-CaurERG6","D",6,"0.005% SDS",30,"10 µg/mL","D6_3",0.023,30.25325,1.134
